富士,水果,2.0,3.0,2.5,,纸袋+膜袋,斤,2022-04-18 00:00:00
黄元帅,水果,2.5,3.5,3.0,,,斤,2022-04-18 00:00:00
花牛,水果,3.0,6.0,4.5,,,斤,2022-04-18 00:00:00
阿克苏,水果,4.0,5.5,4.75,新疆,冰糖心,斤,2022-04-18 00:00:00
国光,水果,2.0,3.0,2.5,,,斤,2022-04-18 00:00:00
寒富苹果,水果,1.4,2.1,1.75,辽宁,,斤,2022-04-18 00:00:00
阳光玫瑰,水果,15.0,45.0,30.0,,,斤,2022-04-18 00:00:00
红宝石,水果,15.0,16.0,15.5,,,斤,2022-04-18 00:00:00
郁金香,水果,13.0,16.0,14.5,,茉莉香,斤,2022-04-18 00:00:00
乒乓球,水果,11.0,15.0,13.0,,,斤,2022-04-18 00:00:00
黑提,水果,10.0,16.0,13.0,,夏黑,斤,2022-04-18 00:00:00
青提,水果,13.0,16.0,14.5,,维多利亚,斤,2022-04-18 00:00:00
巨峰,水果,4.0,5.0,4.5,,新,斤,2022-04-18 00:00:00
小台农,水果,4.6,6.5,5.55,,生,斤,2022-04-18 00:00:00
大台农,水果,5.5,8.0,6.75,,生,斤,2022-04-18 00:00:00
青皮芒果,水果,5.5,7.5,6.5,,,斤,2022-04-18 00:00:00
玉纹,水果,8.0,13.0,10.5,,,斤,2022-04-18 00:00:00
高乐蜜,水果,6.0,9.0,7.5,,,斤,2022-04-18 00:00:00
水仙芒果,水果,6.0,11.0,8.5,,,斤,2022-04-18 00:00:00
红灯,水果,18.0,22.0,20.0,,,斤,2022-04-18 00:00:00
水晶,水果,35.0,48.0,41.5,,,斤,2022-04-18 00:00:00
美早,水果,25.0,60.0,42.5,,,斤,2022-04-18 00:00:00
布鲁克斯,水果,26.0,28.0,27.0,,,斤,2022-04-18 00:00:00
先锋,水果,22.0,28.0,25.0,,,斤,2022-04-18 00:00:00
沙蜜托,水果,20.0,25.0,22.5,,,斤,2022-04-18 00:00:00
白条猪,肉禽蛋,8.5,8.5,8.5,,瘦,斤,2022-04-18 00:00:00
白条猪,肉禽蛋,7.25,7.25,7.25,,肥,斤,2022-04-18 00:00:00
前臀尖,肉禽蛋,7.5,8.0,7.75,,瘦,斤,2022-04-18 00:00:00
前臀尖,肉禽蛋,7.0,7.5,7.25,,肥,斤,2022-04-18 00:00:00
后臀尖,肉禽蛋,7.5,8.0,7.75,,瘦,斤,2022-04-18 00:00:00
后臀尖,肉禽蛋,7.0,7.5,7.25,,肥,斤,2022-04-18 00:00:00
五花肉,肉禽蛋,10.5,12.0,11.25,,瘦,斤,2022-04-18 00:00:00
五花肉,肉禽蛋,9.0,10.5,9.75,,肥,斤,2022-04-18 00:00:00
五花头,肉禽蛋,7.0,8.0,7.5,,,斤,2022-04-18 00:00:00
纯通脊,肉禽蛋,9.5,10.0,9.75,,,斤,2022-04-18 00:00:00
通脊,肉禽蛋,7.5,8.5,8.0,,,斤,2022-04-18 00:00:00
小里脊,肉禽蛋,11.0,12.0,11.5,,,斤,2022-04-18 00:00:00
梅花肉,肉禽蛋,9.0,10.0,9.5,,,斤,2022-04-18 00:00:00
纯瘦肉,肉禽蛋,8.0,9.0,8.5,,,斤,2022-04-18 00:00:00
护心肉,肉禽蛋,11.0,11.0,11.0,,,斤,2022-04-18 00:00:00
前肘,肉禽蛋,7.0,8.0,7.5,,,斤,2022-04-18 00:00:00
后肘（带骨）,肉禽蛋,5.5,6.5,6.0,,,斤,2022-04-18 00:00:00
后肘（去骨）,肉禽蛋,6.5,7.5,7.0,,,斤,2022-04-18 00:00:00
猪尾巴,肉禽蛋,39.0,40.0,39.5,,,斤,2022-04-18 00:00:00
猪蹄,肉禽蛋,19.0,20.0,19.5,,,斤,2022-04-18 00:00:00
纯排骨,肉禽蛋,19.0,20.0,19.5,,,斤,2022-04-18 00:00:00
纯腔骨,肉禽蛋,6.5,8.0,7.25,,,斤,2022-04-18 00:00:00
腔排骨,肉禽蛋,11.5,12.5,12.0,,,斤,2022-04-18 00:00:00
梅花骨,肉禽蛋,8.0,9.0,8.5,,,斤,2022-04-18 00:00:00
棒骨,肉禽蛋,7.0,8.0,7.5,,,斤,2022-04-18 00:00:00
猪头,肉禽蛋,8.0,8.0,8.0,,,斤,2022-04-18 00:00:00
猪口条,肉禽蛋,14.0,14.0,14.0,,,斤,2022-04-18 00:00:00
猪耳,肉禽蛋,26.0,26.0,26.0,,,斤,2022-04-18 00:00:00
猪脑,肉禽蛋,25.0,25.0,25.0,,,斤,2022-04-18 00:00:00
猪肚,肉禽蛋,22.0,22.0,22.0,,,斤,2022-04-18 00:00:00
猪板油,肉禽蛋,5.0,6.0,5.5,,,斤,2022-04-18 00:00:00
肥膘肉,肉禽蛋,4.0,5.0,4.5,,,斤,2022-04-18 00:00:00
猪腰子,肉禽蛋,12.0,13.0,12.5,,,斤,2022-04-18 00:00:00
猪心,肉禽蛋,6.0,7.0,6.5,,,斤,2022-04-18 00:00:00
猪肝,肉禽蛋,4.0,4.5,4.25,,,斤,2022-04-18 00:00:00
